Epoch,Bulk_Bits,Horizon_Bits,Vacuum_Bits,Total_Integrity,Hubble_H,Scale_Factor_a,Avg_Lapse_Alpha,Notable_Events
65,58,264,673,1000,0.00740,1.67,0.1658,!!! [HOLOGRAPHIC SHIFT] Mass converted. | *** [NODE 4] Recombined Matter.
66,58,269,669,1000,0.00735,1.67,0.1635,!!! [HOLOGRAPHIC SHIFT] Mass converted. | *** [NODE 4] Recombined Matter.
67,57,274,665,1000,0.00730,1.68,0.1637,!!! [HOLOGRAPHIC SHIFT] Mass converted. | *** [NODE 4] Recombined Matter.
68,57,278,663,1000,0.00725,1.69,0.1644,!!! [HOLOGRAPHIC SHIFT] Mass converted. | *** [NODE 4] Recombined Matter.
69,55,282,658,1000,0.00721,1.70,0.1675,!!! [HOLOGRAPHIC SHIFT] Mass converted. | *** [NODE 4] Recombined Matter.
70,58,284,654,1000,0.00716,1.70,0.1608,!!! [HOLOGRAPHIC SHIFT] Mass converted. | *** [NODE 4] Recombined Matter.
71,57,289,651,1000,0.00712,1.71,0.1681,!!! [HOLOGRAPHIC SHIFT] Mass converted. | *** [NODE 4] Recombined Matter.
72,56,293,646,1000,0.00707,1.72,0.1647,!!! [HOLOGRAPHIC SHIFT] Mass converted. | *** [NODE 4] Recombined Matter.
73,58,296,642,1000,0.00703,1.72,0.1655,!!! [HOLOGRAPHIC SHIFT] Mass converted. | *** [NODE 4] Recombined Matter.
74,57,301,638,1000,0.00699,1.73,0.1663,!!! [HOLOGRAPHIC SHIFT] Mass converted. | *** [NODE 4] Recombined Matter.
75,57,305,633,1000,0.00694,1.74,0.1664,!!! [HOLOGRAPHIC SHIFT] Mass converted. | *** [NODE 4] Recombined Matter.
76,58,309,631,1000,0.00690,1.74,0.1614,!!! [HOLOGRAPHIC SHIFT] Mass converted. | *** [NODE 4] Recombined Matter.
77,55,314,626,1000,0.00686,1.75,0.1682,!!! [HOLOGRAPHIC SHIFT] Mass converted. | *** [NODE 4] Recombined Matter.
78,58,316,623,1000,0.00682,1.76,0.1648,!!! [HOLOGRAPHIC SHIFT] Mass converted. | *** [NODE 4] Recombined Matter.
79,56,321,619,1000,0.00678,1.77,0.1668,!!! [HOLOGRAPHIC SHIFT] Mass converted. | *** [NODE 4] Recombined Matter.
80,57,324,616,1000,0.00674,1.77,0.1657,!!! [HOLOGRAPHIC SHIFT] Mass converted. | *** [NODE 4] Recombined Matter.
81,56,328,610,1000,0.00670,1.78,0.1690,!!! [HOLOGRAPHIC SHIFT] Mass converted. | *** [NODE 4] Recombined Matter.
82,59,331,608,1000,0.00667,1.79,0.1635,!!! [HOLOGRAPHIC SHIFT] Mass converted. | *** [NODE 4] Recombined Matter.
83,55,337,605,1000,0.00663,1.79,0.1690,!!! [HOLOGRAPHIC SHIFT] Mass converted. | *** [NODE 4] Recombined Matter.
84,56,339,601,1000,0.00659,1.80,0.1683,!!! [HOLOGRAPHIC SHIFT] Mass converted. | *** [NODE 4] Recombined Matter.
85,57,342,596,1000,0.00656,1.81,0.1592,!!! [HOLOGRAPHIC SHIFT] Mass converted. | *** [NODE 4] Recombined Matter.
86,58,346,590,1000,0.00652,1.81,0.1672,!!! [HOLOGRAPHIC SHIFT] Mass converted. | *** [NODE 4] Recombined Matter.
87,59,351,585,1000,0.00648,1.82,0.1611,!!! [HOLOGRAPHIC SHIFT] Mass converted. | *** [NODE 4] Recombined Matter.
88,58,357,582,1000,0.00645,1.82,0.1683,!!! [HOLOGRAPHIC SHIFT] Mass converted. | *** [NODE 4] Recombined Matter.
89,56,362,578,1000,0.00642,1.83,0.1692,!!! [HOLOGRAPHIC SHIFT] Mass converted. | *** [NODE 4] Recombined Matter.
90,57,365,574,1000,0.00638,1.84,0.1633,!!! [HOLOGRAPHIC SHIFT] Mass converted. | *** [NODE 4] Recombined Matter.
91,57,369,569,1000,0.00635,1.84,0.1697,!!! [HOLOGRAPHIC SHIFT] Mass converted. | *** [NODE 4] Recombined Matter.
92,58,373,563,1000,0.00632,1.85,0.1679,!!! [HOLOGRAPHIC SHIFT] Mass converted. | *** [NODE 4] Recombined Matter.
93,59,378,557,1000,0.00628,1.86,0.1668,!!! [HOLOGRAPHIC SHIFT] Mass converted. | *** [NODE 4] Recombined Matter.
94,59,384,553,1000,0.00625,1.86,0.1675,!!! [HOLOGRAPHIC SHIFT] Mass converted. | *** [NODE 4] Recombined Matter.
95,57,390,551,1000,0.00622,1.87,0.1694,!!! [HOLOGRAPHIC SHIFT] Mass converted. | *** [NODE 4] Recombined Matter.
96,55,394,546,1000,0.00619,1.87,0.1685,!!! [HOLOGRAPHIC SHIFT] Mass converted. | *** [NODE 4] Recombined Matter.
97,58,396,542,1000,0.00616,1.88,0.1680,!!! [HOLOGRAPHIC SHIFT] Mass converted. | *** [NODE 4] Recombined Matter.
98,57,401,538,1000,0.00613,1.89,0.1671,!!! [HOLOGRAPHIC SHIFT] Mass converted. | *** [NODE 4] Recombined Matter.
99,57,405,535,1000,0.00610,1.89,0.1704,!!! [HOLOGRAPHIC SHIFT] Mass converted. | *** [NODE 4] Recombined Matter.
100,56,409,531,1000,0.00607,1.90,0.1706,!!! [HOLOGRAPHIC SHIFT] Mass converted. | *** [NODE 4] Recombined Matter.
